date,BPP,CPI
9/12/13,108.247,106.883
9/13/13,108.223,106.883
9/14/13,108.198,106.883
9/15/13,108.173,106.883
9/16/13,108.176,106.883
9/17/13,108.156,106.883
9/18/13,108.276,106.883
9/19/13,108.254,106.883
9/20/13,108.204,106.883
9/21/13,108.211,106.883
9/22/13,108.208,106.883
9/23/13,108.203,106.883
9/24/13,108.174,106.883
9/25/13,108.29,106.883
9/26/13,108.279,106.883
9/27/13,108.248,106.883
9/28/13,108.266,106.883
9/29/13,108.245,106.883
9/30/13,108.222,106.883
10/1/13,108.204,107.008
10/2/13,108.299,107.008
10/3/13,108.282,107.008
10/4/13,108.267,107.008
10/5/13,108.259,107.008
10/6/13,108.247,107.008
10/7/13,108.227,107.008
10/8/13,108.305,107.008
10/9/13,108.391,107.008
10/10/13,108.394,107.008
10/11/13,108.372,107.008
10/12/13,108.375,107.008
10/13/13,108.347,107.008
10/14/13,108.36,107.008
10/15/13,108.278,107.008
10/16/13,108.39,107.008
10/17/13,108.416,107.008
10/18/13,108.389,107.008
10/19/13,108.419,107.008
10/20/13,108.42,107.008
10/21/13,108.427,107.008
10/22/13,108.423,107.008
10/23/13,108.402,107.008
10/24/13,108.411,107.008
10/25/13,108.385,107.008
10/26/13,108.375,107.008
10/27/13,108.362,107.008
10/28/13,108.361,107.008
10/29/13,108.316,107.008
10/30/13,108.384,107.008
10/31/13,108.465,107.008
11/1/13,108.502,106.732
11/2/13,108.54,106.732
11/3/13,108.537,106.732
11/4/13,108.51,106.732
11/5/13,108.49,106.732
11/6/13,108.497,106.732
11/7/13,108.476,106.732
11/8/13,108.482,106.732
11/9/13,108.475,106.732
11/10/13,108.459,106.732
11/11/13,108.421,106.732
11/12/13,108.389,106.732
11/13/13,108.457,106.732
11/14/13,108.468,106.732
11/15/13,108.445,106.732
11/16/13,108.469,106.732
11/17/13,108.488,106.732
11/18/13,108.476,106.732
11/19/13,108.459,106.732
11/20/13,108.487,106.732
11/21/13,108.5,106.732
11/22/13,108.491,106.732
11/23/13,108.513,106.732
11/24/13,108.529,106.732
11/25/13,108.541,106.732
11/26/13,108.54,106.732
11/27/13,108.572,106.732
11/28/13,108.565,106.732
11/29/13,108.595,106.732
11/30/13,108.645,106.732
12/1/13,108.639,106.514
12/2/13,108.654,106.514
12/3/13,108.652,106.514
12/4/13,108.673,106.514
12/5/13,108.591,106.514
12/6/13,108.542,106.514
12/7/13,108.582,106.514
12/8/13,108.581,106.514
12/9/13,108.504,106.514
12/10/13,108.559,106.514
12/11/13,108.605,106.514
12/12/13,108.588,106.514
12/13/13,108.549,106.514
12/14/13,108.561,106.514
12/15/13,108.494,106.514
12/16/13,108.475,106.514
12/17/13,108.519,106.514
12/18/13,108.604,106.514
12/19/13,108.607,106.514
12/20/13,108.57,106.514
12/21/13,108.612,106.514
12/22/13,108.657,106.514
12/23/13,108.683,106.514
12/24/13,108.693,106.514
12/25/13,108.75,106.514
12/26/13,108.786,106.514
12/27/13,108.783,106.514
12/28/13,108.825,106.514
12/29/13,108.862,106.514
12/30/13,108.896,106.514
12/31/13,108.886,106.514
1/1/14,109.182,106.505
1/2/14,109.069,106.505
1/3/14,109.048,106.505
1/4/14,109.055,106.505
1/5/14,109.045,106.505
1/6/14,109.059,106.505
1/7/14,109.064,106.505
1/8/14,109.085,106.505
1/9/14,109.091,106.505
1/10/14,109.063,106.505
1/11/14,109.074,106.505
1/12/14,109.077,106.505
1/13/14,109.073,106.505
1/14/14,109.06,106.505
1/15/14,109.068,106.505
1/16/14,109.088,106.505
1/17/14,109.072,106.505
1/18/14,109.06,106.505
1/19/14,109.049,106.505
1/20/14,109.059,106.505
1/21/14,109.046,106.505
1/22/14,109.048,106.505
1/23/14,109.058,106.505
1/24/14,109.063,106.505
1/25/14,109.069,106.505
1/26/14,109.06,106.505
1/27/14,109.061,106.505
1/28/14,109.036,106.505
1/29/14,109.027,106.505
1/30/14,109.027,106.505
1/31/14,109.025,106.505
2/1/14,109.033,106.901
2/2/14,109.047,106.901
2/3/14,109.04,106.901
2/4/14,109.028,106.901
2/5/14,109.035,106.901
2/6/14,109.05,106.901
2/7/14,109.041,106.901
2/8/14,109.05,106.901
2/9/14,109.054,106.901
2/10/14,109.085,106.901
2/11/14,109.104,106.901
2/12/14,109.151,106.901
2/13/14,109.19,106.901
2/14/14,109.238,106.901
2/15/14,109.242,106.901
2/16/14,109.26,106.901
2/17/14,109.292,106.901
2/18/14,109.301,106.901
2/19/14,109.344,106.901
2/20/14,109.382,106.901
2/21/14,109.408,106.901
2/22/14,109.425,106.901
2/23/14,109.451,106.901
2/24/14,109.473,106.901
2/25/14,109.49,106.901
2/26/14,109.523,106.901
2/27/14,109.552,106.901
2/28/14,109.571,106.901
3/1/14,109.594,107.297
3/2/14,109.618,107.297
3/3/14,109.615,107.297
3/4/14,109.615,107.297
3/5/14,109.636,107.297
3/6/14,109.66,107.297
3/7/14,109.687,107.297
3/8/14,109.715,107.297
3/9/14,109.722,107.297
3/10/14,109.726,107.297
3/11/14,109.723,107.297
3/12/14,109.736,107.297
3/13/14,109.745,107.297
3/14/14,109.747,107.297
3/15/14,109.776,107.297
3/16/14,109.779,107.297
3/17/14,109.804,107.297
3/18/14,109.806,107.297
3/19/14,109.822,107.297
3/20/14,109.84,107.297
3/21/14,109.833,107.297
3/22/14,109.82,107.297
3/23/14,109.831,107.297
3/24/14,109.832,107.297
3/25/14,109.833,107.297
3/26/14,109.851,107.297
3/27/14,109.868,107.297
3/28/14,109.875,107.297
3/29/14,109.888,107.297
3/30/14,109.909,107.297
3/31/14,109.943,107.297
4/1/14,109.954,107.988
4/2/14,109.981,107.988
4/3/14,110,107.988
4/4/14,110.02,107.988
4/5/14,110.03,107.988
4/6/14,110.033,107.988
4/7/14,110.038,107.988
4/8/14,110.046,107.988
